[COT 2022-3M-11 18:33:12] 76561198280627555: Set GodMode To true [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:33:12] 76561198280627555: Set UnlimitedAmmo To true [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:34:28] 76561198280627555: Healed [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:36:34] 76561198280627555: Set GodMode To false [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:36:34] 76561198280627555: Set UnlimitedAmmo To false [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:39:9s] 76561198280627555: Set UnlimitedAmmo To true [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:39:11] 76561198280627555: Healed [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:42:31] 76561198280627555: Teleported to position <11961.144531, 59.064880, 8919.061523>
[COT 2022-3M-11 19:6m:56] 76561198280627555: Healed [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 23:39:55] 76561198280627555: Spawned Entity MK17 Magazine (A2mk17_mag<d76b6850>, 1, 100) at <4601.241699, 342.892548, 9621.063477>
[COT 2022-3M-11 23:39:55] 76561198280627555: Spawned Entity MK17 Magazine (A2mk17_mag<d76c1390>, 1, 100) at <4601.241699, 342.892548, 9621.063477>
[COT 2022-3M-11 23:39:55] 76561198280627555: Spawned Entity MK17 Magazine (A2mk17_mag<d76c4f80>, 1, 100) at <4601.241699, 342.892548, 9621.063477>
[COT 2022-3M-11 23:39:55] 76561198280627555: Spawned Entity MK17 Magazine (A2mk17_mag<d76be030>, 1, 100) at <4601.241699, 342.892548, 9621.063477>
[COT 2022-3M-11 23:39:56] 76561198280627555: Spawned Entity MK17 Magazine (A2mk17_mag<d76c0b00>, 1, 100) at <4601.241699, 342.892548, 9621.063477>
[COT 2022-3M-11 23:39:56] 76561198280627555: Spawned Entity MK17 Magazine (A2mk17_mag<d76be8c0>, 1, 100) at <4601.241699, 342.892548, 9621.063477>
[COT 2022-3M-11 23:39:56] 76561198280627555: Spawned Entity MK17 Magazine (A2mk17_mag<e41e1b40>, 1, 100) at <4601.241699, 342.892548, 9621.063477>
[COT 2022-3M-11 23:39:56] 76561198280627555: Spawned Entity MK17 Magazine (A2mk17_mag<e41e34f0>, 1, 100) at <4601.241699, 342.892548, 9621.063477>
[COT 2022-3M-11 23:39:57] 76561198280627555: Spawned Entity MK17 Magazine (A2mk17_mag<e41df070>, 1, 100) at <4601.241699, 342.892548, 9621.063477>
[COT 2022-3M-11 23:39:57] 76561198280627555: Spawned Entity MK17 Magazine (A2mk17_mag<e41ddf50>, 1, 100) at <4601.241699, 342.892548, 9621.063477>
[COT 2022-3M-11 23:45:15] 76561198280627555: Teleported to position <4621.534180, 339.000000, 9637.891602>
[COT 2022-3M-11 23:54:47] 76561198280627555: Teleported to position <10448.792969, 6.000000, 2287.089844>
[COT 2022-3M-12 0h:2m:18] 76561198280627555: Spawned Entity ATOG 4x32 Scope (ACOGOptic<ec8cb7d0>, -1, 50) at <10449.541992, 10.153981, 2269.643066>
[COT 2022-3M-12 0h:2m:36] 76561198280627555: Spawned Entity Universal Flashlight (UniversalLight<f5ae5bf0>, -1, 70) at <10449.541992, 10.153981, 2269.643066>
[COT 2022-3M-12 0h:2m:36] 76561198280627555: Spawned Entity Universal Flashlight (UniversalLight<f5ae75a0>, -1, 70) at <10449.541992, 10.153981, 2269.643066>
[COT 2022-3M-12 0h:2m:58] 76561198280627555: Spawned Entity Universal Flashlight (UniversalLight<f5aef610>, -1, 70) at <10449.541992, 10.153981, 2269.643066>
[COT 2022-3M-12 0h:3m:25] 76561198280627555: Spawned Entity RMR Sights (tall mount) (AD_RMR_TM<cd9a2a10>, -1, 100) at <10449.541992, 10.153981, 2269.643066>
[COT 2022-3M-12 0h:3m:54] 76561198280627555: Spawned Entity 25rd USG-45 Mag (Mag_UMP_25Rnd<cd9a43c0>, 1, 100) at <10449.541992, 10.153980, 2269.643066>
[COT 2022-3M-12 0h:9m:1s] 76561198280627555: Spawned Entity Blood Test Kit (BloodTestKit<d5c0a8c0>, -1, 15) at <10456.636719, 6.396369, 2270.652344>
[COT 2022-3M-12 0h:14:25] 76561198280627555: Spawned Entity Pistol Flashlight (TLRLight<e3744960>, -1, 70) at <10456.636719, 6.353986, 2270.652344>
[COT 2022-3M-12 0h:14:31] 76561198280627555: Spawned Entity Pistol Suppressor (PistolSuppressor<e3741e90>, -1, 5) at <10456.636719, 6.353986, 2270.652344>
[COT 2022-3M-12 0h:14:31] 76561198280627555: Spawned Entity Pistol Suppressor (PistolSuppressor<e37404e0>, -1, 5) at <10456.636719, 6.353986, 2270.652344>
[COT 2022-3M-12 0h:14:36] 76561198280627555: Spawned Entity RMR Sights (AD_RMR<e3747cc0>, -1, 100) at <10456.636719, 6.353986, 2270.652344>
[COT 2022-3M-12 18:15:59] 76561198280627555: Teleported to position <7575.169434, 5.685676, 3026.417480>
[COT 2022-3M-12 18:52:56] 76561198280627555: Set UnlimitedAmmo To true [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
